doi,title,abstract,publication_year,source,cited_by_count,is_oa,oa_url,query_label
https://doi.org/10.1002/aepp.13488,Multi‐country perspectives on best practices and barriers to preference elicitation lab‐in‐the‐field experiments with farmers,"Abstract In this study, we define, categorize, and systematically describe best practices and barriers to implementing preference elicitation lab‐in‐the‐field experiments with farmers based on qualitative, in‐depth interviews with researchers from the Research Network on Economic Experiments for the Common Agricultural Policy (REECAP). Following an assessment of the challenges the researchers faced and the solutions they adopted, we provide a step‐by‐step guide to conducting such experiments. We elaborate on limitations and provide recommendations and suggestions for future research.",2024,Applied Economic Perspectives and Policy,4,TRUE,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aepp.13488,Block 2D: Pre-registration and explicit reasoning
https://doi.org/10.1002/agj2.21353,Artificial intelligence in farming: Challenges and opportunities for building trust,"Abstract Artificial intelligence (AI) represents technologies with human‐like cognitive abilities to learn, perform, and make decisions. AI in precision agriculture (PA) enables farmers and farm managers to deploy highly targeted and precise farming practices based on site‐specific agroclimatic field measurements. The foundational and applied development of AI has matured considerably over the last 30 years. The time is now right to engage seriously with the ethics and responsible practice of AI for the well‐being of farmers and farm managers. In this paper, we identify and discuss both challenges and opportunities for improving farmers’ trust in those providing AI solutions for PA. We highlight that farmers’ trust can be moderated by how the benefits and risks of AI are perceived, shared, and distributed. We propose four recommendations for improving farmers’ trust. First, AI developers should improve model transparency and explainability. Second, clear responsibility and accountability should be assigned to AI decisions. Third, concerns about the fairness of AI need to be overcome to improve human‐machine partnerships in agriculture. Finally, regulation and voluntary compliance of data ownership, privacy, and security are needed, if AI systems are to become accepted and used by farmers.",2023,Agronomy Journal,90,TRUE,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/agj2.21353,Block 2E: Tacit knowledge
https://doi.org/10.1002/agr.21820,Analyzing the effect of Corporate Social Responsibility on Green Innovation Performance in the Spanish wine industry: A structural equation modeling analysis,"Abstract The present research analyses how Corporate Social Responsibility (CSR) practices affect Green Innovation Performance (GIP) in the Spanish wine industry. To this end, a conceptual model is proposed and contrasted through a quantitative approach based on structural equation modeling with data collected from 202 Spanish wineries between September 2021 and January 2022. The results of the research indicate that there is a positive and significant relationship between CSR and GIP. In addition, Green Intellectual Capital (GIC) and Knowledge Management (KM) partially mediate the relationship between these two variables, playing a key role in the environmental management of wineries. The present research therefore contributes to the literature in several ways. First, the study advances the understanding of CSR in the Spanish wine industry, as well as its relationship with GIP. Second, the research aims to fill a gap in the literature by studying GIC and KM as mediating variables in this link, given that, to our knowledge, there are no previous studies that have analyzed mediating variables in the CSR–GIP relationship. Third, to the best of our knowledge, the proposed model has not been previously addressed in the academic literature, which represents an advance in scientific knowledge. [EconLit citations: L66, 03, M1].",2023,Agribusiness,46,TRUE,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/agr.21820,Block 2E: Tacit knowledge
https://doi.org/10.1002/bsd2.70179,A Green Internet of Things ( <scp>GIoT</scp> ) Adoption Framework to Enhance Environmental Performance of <scp>SMEs</scp> Through the Digital Social Networking,"ABSTRACT Small and Medium Enterprises (SMEs) face increasing pressure to adopt sustainable practices, yet the adoption of advanced technologies like the Green Internet of Things (GIoT) remains limited. This study addresses this gap by proposing and validating a GIoT adoption framework aimed at enhancing environmental performance, emphasizing the mediating role of digital social networking (DSN). Extending the Unified Theory of Acceptance and Use of Technology (UTAUT), the model incorporates perceived motivation and perceived environmental knowledge as additional predictors. A quantitative survey of 614 SME owners and managers from manufacturing and service sectors was conducted, and structural equation modelling (SEM) was used for analysis. Results show that all UTAUT constructs, along with the extended variables, significantly influence GIoT adoption. GIoT adoption directly improves environmental performance and promotes DSN, which further amplifies its positive environmental impact. The study also reveals that manufacturing SMEs exhibit a stronger intent to adopt GIoT. Implications for policy and practice are discussed.",2025,Business Strategy & Development,5,TRUE,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/bsd2.70179,Block 1C: AI and journal/publication policy
https://doi.org/10.1002/col.22912,"Analyzing the color availability of <scp>AI</scp>‐generated posters based on <scp>K</scp>‐means clustering: 74% orange, 38% cyan, 32% yellow, and 28% blue‐cyan","Abstract In this exploratory study, we delved deeply into the intricate interplay of color choices within AI‐generated and human‐designed posters, analyzing a sample of 120 instances from each category. While it is suggested that human designers may integrate cultural, emotional, and situational contexts into their creations, AI models largely base their selections on vast datasets and pattern recognition. Although AI exhibited prowess in replicating established design parameters, the study underlined the importance of critically assessing its outputs. The quantitative analysis illuminated overarching similarities in primary color selections. However, the AI's diversity in color remains less concentrated than that of human, suggesting a gap in the AI's capacity to match human expertise in color proportioning and distribution. As AI continues to evolve, it is crucial to discern its capabilities and potential limitations in the design domain, ensuring it augments human creativity rather than supplanting it. Notably, the research refrains from seeking human validation, aiming instead for an objective, data‐driven reflection on the convergences and divergences between AI‐generated and human designs.",2023,Color Research & Application,7,TRUE,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/col.22912,Block 1A: AI in research practice (broad fields)
https://doi.org/10.1002/csr.3050,Women and leadership in non‐listed private companies in an emerging country: An analysis of barriers and facilitators,"Abstract This study explores women's barriers to accessing leadership positions within non‐listed private companies in Bangladesh, drawing on the Gendered Organization Theory (GOT) as a conceptual framework. This research seeks some possible solutions to overcome these barriers. The study adopts a two‐wave qualitative methodology: semi‐structured interviews with 16 women professionals and subsequent focus‐group discussions to explore solutions. Results reveal that women face significant barriers, such as long working hours, gender pay gaps, unclear responsibilities, biased promotion processes, lack of training, and sexual harassment. These barriers are conceptualized in terms of implicit and explicit gender biases. Research participants emphasized individual efforts like self‐determination, upskilling, job switching, technology leveraging, and family support as key factors in overcoming these obstacles. The study underscores the need for organizational and governmental interventions to promote female leadership and gender equity in non‐listed companies in developing countries.",2024,Corporate Social Responsibility and Environmental Management,2,TRUE,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/csr.3050,Block 1C: AI and journal/publication policy
https://doi.org/10.1002/ejsp.3014,Meta‐identification: Perceptions of others’ group identification shape group life,"Abstract In the present research, we introduce and develop the concept of meta‐identification – perceptions of others’ identification with a group – and examine its capacity to shape group life. Across two cross‐sectional studies and three experiments ( N total = 3992), we investigate the relationship between participants’ meta‐identification in an intragroup context and their group meaningfulness, collective self‐efficacy, organisational citizenship behaviour and (perceived and behavioural) performance. Results indicate that perceiving other group members to be highly identified with a group promotes perceptions of group meaningfulness and collective self‐efficacy, promotes organisational citizenship behaviour and enhances perceived, and in some contexts actual, group performance. Furthermore, results show that individuals’ meta‐identification makes a unique contribution to outcomes above and beyond their social identification. We discuss implications for social identity theorising and the role of meta‐identification in supporting meaningful and functional group life.",2023,European Journal of Social Psychology,10,TRUE,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ejsp.3014,Block 2D: Pre-registration and explicit reasoning
https://doi.org/10.1002/ejsp.3091,Perspective‐taking predicts success in coalition formation,"Abstract Predominant economic theories of coalition formation assume that the best strategy during coalition negotiations is to approach as few partners as possible with self‐serving offers that barely beat all other competitors while maximizing one's profit. Accordingly, to be included in a winning coalition, one needs to be able to predict others’ intentions, which is called perspective‐taking. However, economists derived the idea that these strategies lead to success from observed coalition outcomes, rather than testing the role of perspective‐taking empirically or modeling coalition negotiation dynamics. The present research revisits these theories from a psychological perspective within a novel coalition formation game that mimics common problems in horizontal supply chain collaboration. In line with theories of coalition formation, perspective‐taking during the negotiation predicted higher inclusion in winning coalitions and higher monetary payoffs, but unexpectedly also longer negotiations. Contrary to predominant theories, perspective‐taking led individuals to approach more partners and make other‐serving offers, suggesting that successful coalition negotiations rely on different mechanisms than previously thought. These results are also practically relevant because companies often fail to orchestrate their transport flows, which leads to economic losses and environmental damage. These insights are valuable as they call for a psychological revision of predominant theories on coalition formation and shed light on how social behaviour influences horizontal collaboration in the transport sector. Furthermore, these findings underscore the potential of coalition‐driven approaches in mitigating environmental consequences, offering a pathway toward sustainable practices in the face of climate challenges.",2024,European Journal of Social Psychology,3,TRUE,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ejsp.3091,Block 2D: Pre-registration and explicit reasoning
https://doi.org/10.1002/ejsp.3114,The Elite Global Citizen: How Wealth Shapes Cosmopolitan Identity and Charitable Intentions,"ABSTRACT In four studies, we provide the first empirical examination of how wealth relates to cosmopolitan identity and its consequences for charitable intentions. Study 1 demonstrated that wealth positively predicted cosmopolitan identity in a 60‐nation dataset ( n = 90,350). Study 2 replicated this finding with multi‐item measures in the United States, India and Australia (total n = 861); self‐esteem and self‐efficacy accounted for this association. Study 3 demonstrated the mediating role of cosmopolitan identity in explaining the link between wealth and charitable intentions ( n = 351). Study 4 provided causal evidence for these relationships by experimentally manipulating wealth perceptions in the United States and India (total n = 537). People who were made to feel wealthy (as opposed to poor) reported greater self‐esteem and self‐efficacy, which flowed through to heightened cosmopolitan identification, and finally to increased charitable intentions. Together, these studies suggest that structural economic realities may impose psychological barriers to cultivating global citizenship, hence implicating prosocial downstream consequences.",2024,European Journal of Social Psychology,2,TRUE,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ejsp.3114,Block 2D: Pre-registration and explicit reasoning
https://doi.org/10.1002/eng2.70437,Large Language Model‐Based Cognitive Assistants for Quality Management Systems in Manufacturing: A Requirement Analysis,"ABSTRACT The integration of large language model‐based cognitive assistants (LLM‐CAs) into manufacturing offers opportunities to enhance decision‐making, quality, and efficiency. However, aligning LLM‐CAs with quality management systems (QMS), such as ISO 9001:2015, remains a complex task. This study systematically reviewed 53 studies (2022–2024) to identify 84 literature‐based requirements related to LLM‐CAs deployment for QMS. We translated the identified challenges into 24 actionable requirements using thematic analysis. Grounded in the human, technology, and organization concept (HTO), we classified the requirements across HTO subsystems and their overlaps and mapped them to the seven ISO 9001:2015 clauses. Our analysis reveals strong alignment between LLM‐CAs and QMS principles, particularly in areas such as support in decision‐making processes and continuous improvement. Moreover, our findings highlight persistent challenges, such as transparency, compliance risks, and workforce adaptation. An illustrative case study of setup time optimization demonstrates the practical application of these findings. The results provide a structured foundation for QMS‐compliant integration of LLM‐CAs into manufacturing. Future research should extend these findings through stakeholder‐driven validation, system architecture development, and real‐world implementation studies. This extension would, therefore, support responsible and human‐centered LLM‐CA adoption in digitalized manufacturing environments.",2025,Engineering Reports,2,TRUE,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/eng2.70437,Block 1B: AI in research methodology
