subfolder,file,path,composite,themes_hit,score_a,score_b,score_c,hits_a,hits_b,hits_c
G,Quarterly_2025_Management_Review_Quarterly.pdf,pdfs\G\Quarterly_2025_Management_Review_Quarterly.pdf,57,2,29,22,0,human verification; human oversight; ai-assisted research; ai in research; epistemic; epistemolog,epistemic; epistemolog; knowledge production; validity; research integrity; systematic review,
D,Penders_2022_Process_And_Bureaucracy_Scientific_Reform_As_Civilisation.pdf,pdfs\D\Penders_2022_Process_And_Bureaucracy_Scientific_Reform_As_Civilisation.pdf,63,3,19,31,4,epistemic; epistemolog; reproducib; replicab; transparency; preregistr,preregistration; registered report; open science; osf; epistemic; epistemolog,editor; retraction
G,10.31222_osf.io_n5zkw.pdf,pdfs\G\10.31222_osf.io_n5zkw.pdf,60,2,19,35,0,epistemic; epistemolog; reproducib; replicab; transparency; preregistr,preregistration; open science; open research; reproducibility crisis; questionable research practice; data sharing,
C,Journal_2026_Httpsdoiorg101007s41471_025_00218_5.pdf,pdfs\C\Journal_2026_Httpsdoiorg101007s41471_025_00218_5.pdf,58,3,17,29,3,epistemolog; reproducib; replicab; transparency; preregistr; llm,preregistration; registered report; open science; replication crisis; preprint; epistemolog,peer review; editor
D,Series_2022_Towards_Bayesian_Model_based_Demography.pdf,pdfs\D\Series_2022_Towards_Bayesian_Model_based_Demography.pdf,49,3,16,18,6,epistemic; epistemolog; reproducib; replicab; transparency; research practice,questionable research practice; epistemic; epistemolog; philosophy of science; transparency; reproducib,cope; editorial board; editor
A,Unknown_2024_Microsoft_Word_Jkm_preprint_paulavazquez.pdf,pdfs\A\Unknown_2024_Microsoft_Word_Jkm_preprint_paulavazquez.pdf,30,2,16,8,0,tacit knowledge; polanyi; explicit knowledge; codified knowledge,tacit knowledge; tacit,
G,Author_2025_Accepted_4_July_2025_Published_Online_18.pdf,pdfs\G\Author_2025_Accepted_4_July_2025_Published_Online_18.pdf,29,2,15,7,1,human oversight; ai-assisted research; epistemic; generative ai; llm; claude,epistemic; scientific integrity,editor
D,Sociologist_2023_The_American_Sociologist_2023_54193210.pdf,pdfs\D\Sociologist_2023_The_American_Sociologist_2023_54193210.pdf,63,3,14,29,11,reproducib; replicab; transparency; pre-registr; preregistr,pre-registration; preregistration; registered report; open science; replication crisis; transparency,editor; retraction; correction; sociological; sociology journal
D,Jensen_2025_377_Belardinelli.pdf,pdfs\D\Jensen_2025_377_Belardinelli.pdf,61,2,14,39,2,epistemic; reproducib; replicab; transparency; pre-registr,pre-registration; pre-register; open science; reproducibility crisis; publication bias; p-hacking,disclose
D,al_2024_Vis_Repligogy.pdf,pdfs\D\al_2024_Vis_Repligogy.pdf,53,2,14,31,2,epistemolog; reproducib; replicab; transparency; pre-registr,pre-registration; registered report; open science; replication crisis; preprint; osf,peer review
E,Abbate_etal_2022_Investigating_Healthcare_40_Transition_Through_A_Knowledge.pdf,pdfs\E\Abbate_etal_2022_Investigating_Healthcare_40_Transition_Through_A_Knowledge.pdf,35,2,14,14,1,tacit knowledge; explicit knowledge; epistemolog; reproducib,tacit knowledge; tacit; epistemolog; reproducib,editor
D,Nakagawa_2025_Poor_Hypotheses_And_Research_Waste_In_Biology.pdf,pdfs\D\Nakagawa_2025_Poor_Hypotheses_And_Research_Waste_In_Biology.pdf,75,3,13,49,4,epistemolog; replicab; transparency; pre-registr; research practice,pre-registration; pre-register; registered report; replication crisis; p-hacking; researcher degrees of freedom,disclose; peer review
D,Applicable_2023_Meta_psychology_2023_Vol_7_Mp20223271.pdf,pdfs\D\Applicable_2023_Meta_psychology_2023_Vol_7_Mp20223271.pdf,71,3,13,45,4,reproducib; replicab; transparency; preregistr; research practice,preregistration; registered report; open science; publication bias; file drawer; questionable research practice,editor; journal editor
D,Datta_etal_2024_Toward_Open_Science.pdf,pdfs\D\Datta_etal_2024_Toward_Open_Science.pdf,60,3,13,33,5,reproducib; replicab; transparency; preregistr; research practice,preregistration; open science; publication bias; file drawer; p-hacking; open data,disclose; cope
D,Bochynska_2023_Reproducible_Research_Practices_And_Transparency_Across_Ling.pdf,pdfs\D\Bochynska_2023_Reproducible_Research_Practices_And_Transparency_Across_Ling.pdf,55,2,13,34,2,reproducib; replicab; transparency; preregistr; research practice,preregistration; open science; reproducibility crisis; researcher degrees of freedom; harking; open data,disclose
D,Challenge_2026_Journal_Of_Business_And_Psychology_2022_37459467.pdf,pdfs\D\Challenge_2026_Journal_Of_Business_And_Psychology_2022_37459467.pdf,49,2,13,29,1,reproducib; replicab; transparency; preregistr; research practice,preregistration; pre-register; registered report; open science; osf; philosophy of science,editor
G,Leonelli_2023_Opacity_And_Reproducibility_In_Data_Processing.pdf,pdfs\G\Leonelli_2023_Opacity_And_Reproducibility_In_Data_Processing.pdf,44,3,13,17,5,ai in research; tacit knowledge; epistemolog; reproducib,tacit knowledge; tacit; epistemolog; knowledge production; reproducib,cope; peer review
A,Chakravorti_etal_2025_Social_Scientists_On_The_Role_Of_Ai.pdf,pdfs\A\Chakravorti_etal_2025_Social_Scientists_On_The_Role_Of_Ai.pdf,34,3,13,8,4,ai in research; epistemolog; transparency; generative ai; large language model; llm,epistemolog; knowledge production; transparency,research misconduct; editor
pdfs_manualy_supplemented,Xu_etal_2026_Scaling_Reproducibility_AI_Assisted_Workflow.pdf,pdfs\pdfs_manualy_supplemented\Xu_etal_2026_Scaling_Reproducibility_AI_Assisted_Workflow.pdf,33,2,13,14,0,replication package; reproducib; replicab; transparency; chatgpt; claude,open science; inference; causal inference; transparency; reproducib,
E,growi_2020_Microsoft_Word_Msl_2020_65.pdf,pdfs\E\growi_2020_Microsoft_Word_Msl_2020_65.pdf,31,2,13,12,0,tacit knowledge; polanyi; explicit knowledge,tacit knowledge; tacit; articulate; validity,
G,Writing_etal_2026_Jle_Vol_11_No_4_2025.pdf,pdfs\G\Writing_etal_2026_Jle_Vol_11_No_4_2025.pdf,60,3,12,11,28,human verification; human oversight; transparency; generative ai; chatgpt; scholarly writing,knowledge production; validity; research integrity; transparency,disclosure of ai; cope; committee on publication ethics; icmje; academic integrity; peer review
D,Workflow_etal_XXXX_Ecaw_manuscriptalspac_230428.pdf,pdfs\D\Workflow_etal_XXXX_Ecaw_manuscriptalspac_230428.pdf,42,2,12,24,0,reproducib; transparency; preregistr; research practice; research workflow,preregistration; open science; publication bias; questionable research practice; osf; transparency,
B,Gallifant_2025_The_Tripod_llm_Reporting_Guideline_For_Studies_Using.pdf,pdfs\B\Gallifant_2025_The_Tripod_llm_Reporting_Guideline_For_Studies_Using.pdf,38,3,12,11,6,human oversight; reproducib; transparency; generative ai; large language model; llm,open science; preprint; transparency; reproducib,cope; equator
A,Innovation_etal_2026_Untitled.pdf,pdfs\A\Innovation_etal_2026_Untitled.pdf,30,2,12,10,2,epistemic; epistemolog; replicab; transparency; generative ai,epistemic; epistemolog; systematic review; transparency,sociological
pdfs_manualy_supplemented,Grossmann_etal_2023_AI_Transformation_Social_Science_Research.pdf,pdfs\pdfs_manualy_supplemented\Grossmann_etal_2023_AI_Transformation_Social_Science_Research.pdf,17,1,12,2,0,ai-assisted research; replicab; transparency; large language model; llm; research practice,transparency,
pdfs_manualy_supplemented,daVeiga_2025_Ethical_Guidelines_Generative_AI_Scholarly_Publishing.pdf,pdfs\pdfs_manualy_supplemented\daVeiga_2025_Ethical_Guidelines_Generative_AI_Scholarly_Publishing.pdf,59,3,11,6,33,human oversight; ai in research; transparency; generative ai; large language model; llm,research integrity; transparency,ai policy; generative ai policy; author guidelines; disclose; cope; committee on publication ethics
D,Pownall_etal_2021_Embedding_Open_And_Reproducible_Science_Into_Teaching.pdf,pdfs\D\Pownall_etal_2021_Embedding_Open_And_Reproducible_Science_Into_Teaching.pdf,53,2,11,35,1,epistemolog; reproducib; replicab; research practice,open science; open research; replication crisis; p-hacking; questionable research practice; open data,editor
D,Article_2022_Meta_psychology_2022_Vol_6_Mp20202601.pdf,pdfs\D\Article_2022_Meta_psychology_2022_Vol_6_Mp20202601.pdf,52,2,11,34,1,reproducib; replicab; preregistr; research practice,preregistration; replication crisis; researcher degrees of freedom; questionable research practice; qrp; open data,editor
D,Economicus_etal_2023_.pdf,pdfs\D\Economicus_etal_2023_.pdf,51,2,11,32,2,reproducib; transparency; pre-registr; preregistr,pre-registration; preregistration; registered report; open science; open data; knowledge production,peer review
C,Sci_2023_Untitled.pdf,pdfs\C\Sci_2023_Untitled.pdf,45,3,11,15,10,epistemic; epistemolog; generative ai; large language model; llm; chatgpt,open science; osf; epistemic; epistemolog; philosophy of science,disclose; cope; plagiarism; peer review
C,rsos.230658.pdf,pdfs_manualy_supplemented\C\rsos.230658.pdf,45,3,11,15,10,epistemic; epistemolog; generative ai; large language model; llm; chatgpt,open science; osf; epistemic; epistemolog; philosophy of science,disclose; cope; plagiarism; peer review
D,Botvinik_etal_2022_Analysis_Reproducibility_In_Mental_Health_Research_Challenge.pdf,pdfs\D\Botvinik_etal_2022_Analysis_Reproducibility_In_Mental_Health_Research_Challenge.pdf,38,2,11,21,0,reproducib; replicab; transparency; pre-registr,pre-registration; open data; data sharing; code sharing; validity; transparency,
G,HP_2025_Microsoft_Word_19019_tamplate.pdf,pdfs\G\HP_2025_Microsoft_Word_19019_tamplate.pdf,37,3,11,8,9,epistemic; epistemolog; transparency; generative ai; large language model; llm,epistemic; epistemolog; transparency,ai authorship; plagiarism; editor
C,Hosseini_2023_Fighting_Reviewer_Fatigue_Or_Amplifying_Bias_Considerations.pdf,pdfs\C\Hosseini_2023_Fighting_Reviewer_Fatigue_Or_Amplifying_Bias_Considerations.pdf,35,3,11,10,5,epistemic; reproducib; generative ai; large language model; llm; chatgpt,epistemic; research integrity; reproducib,disclose; peer review; editor
G,Thurzo_2025_Revisiting_The_Role_Of_Review_Articles_In.pdf,pdfs\G\Thurzo_2025_Revisiting_The_Role_Of_Review_Articles_In.pdf,32,3,11,6,6,human oversight; transparency; generative ai; large language model; llm; chatgpt,validity; systematic review; transparency,editorial board; editor; academic publishing
B,Sebastian_etal_2025_Em_jice250006_284290.pdf,pdfs\B\Sebastian_etal_2025_Em_jice250006_284290.pdf,31,3,11,8,3,ai in research; epistemolog; generative ai; chatgpt; research practice; research tool,epistemolog; knowledge production; validity,academic publishing
B,Generative_AI_tools_(ChatGPT).pdf,pdfs_manualy_supplemented\B\Generative_AI_tools_(ChatGPT).pdf,31,3,11,8,3,ai in research; epistemolog; generative ai; chatgpt; research practice; research tool,epistemolog; knowledge production; validity,academic publishing
C,Hamaniuk_etal_2025_Genai_As_Scholarly_Ally_Patterns_Pedagogy_And.pdf,pdfs\C\Hamaniuk_etal_2025_Genai_As_Scholarly_Ally_Patterns_Pedagogy_And.pdf,29,3,11,3,6,structured ai use; epistemolog; large language model; chatgpt; academic writing,epistemolog,academic integrity; editor; correction
D,Louderback_2021_Gambling_Researchers_Use_And_Views_Of_Open.pdf,pdfs\D\Louderback_2021_Gambling_Researchers_Use_And_Views_Of_Open.pdf,51,2,10,33,2,replicab; transparency; pre-registr; research practice,pre-registration; registered report; open science; p-hacking; questionable research practice; harking,peer review
A,Researchers_2021_Frma_2020_586992_120.pdf,pdfs\A\Researchers_2021_Frma_2020_586992_120.pdf,50,2,10,33,1,reproducib; transparency; preregistr; research practice,preregistration; registered report; open science; p-hacking; questionable research practice; harking,editor
D,Isch_2025_Reflections_On_Adversarial_Collaboration_From_The_Adversarie.pdf,pdfs\D\Isch_2025_Reflections_On_Adversarial_Collaboration_From_The_Adversarie.pdf,46,2,10,28,2,reproducib; transparency; preregistr; research practice,preregistration; open science; replication crisis; data sharing; validity; metascience,peer review
G,abc_2024_International_Journal_Of_Research_In_Medical_Sciences.pdf,pdfs\G\abc_2024_International_Journal_Of_Research_In_Medical_Sciences.pdf,36,3,10,7,10,epistemic; transparency; generative ai; large language model; llm; chatgpt,epistemic; inference; transparency,icmje; plagiarism; editor; correction
A,Semmelrock_2025_Reproducibility_In_Machinelearningbased_Research_Overview_Ba.pdf,pdfs\A\Semmelrock_2025_Reproducibility_In_Machinelearningbased_Research_Overview_Ba.pdf,34,2,10,18,0,reproducib; replicab; transparency; research practice,reproducibility crisis; questionable research practice; inference; validity; transparency; reproducib,
E,zeynep_2022_E_mail_Lalebasaririeuedutr.pdf,pdfs\E\zeynep_2022_E_mail_Lalebasaririeuedutr.pdf,32,3,10,10,3,tacit knowledge; polanyi,tacit knowledge; tacit; articulate,cope
G,Barman_2025_Reinforcement_Learning_From_Human_Feedback_In_Llms.pdf,pdfs\G\Barman_2025_Reinforcement_Learning_From_Human_Feedback_In_Llms.pdf,31,3,10,9,3,epistemic; epistemolog; large language model; llm; chatgpt; gpt-4,epistemic; epistemolog; philosophy of science,cope
B,Schmalz_2025_Lets_Talk_About_Languageand_Its_Role_For.pdf,pdfs\B\Schmalz_2025_Lets_Talk_About_Languageand_Its_Role_For.pdf,29,2,10,13,0,reproducib; replicab; transparency; research tool,open science; researcher degrees of freedom; transparency; reproducib,
E,Holzinger_2020_Measuring_The_Quality_Of_Explanations_The_System.pdf,pdfs\E\Holzinger_2020_Measuring_The_Quality_Of_Explanations_The_System.pdf,26,2,10,10,0,human-in-the-loop; tacit knowledge; transparency,tacit knowledge; tacit; transparency,
G,Cassinadri_2024_Chatgpt_And_The_Technology_education_Tension_Applying_Contex.pdf,pdfs\G\Cassinadri_2024_Chatgpt_And_The_Technology_education_Tension_Applying_Contex.pdf,22,2,10,6,0,epistemic; epistemolog; generative ai; large language model; llm; chatgpt,epistemic; epistemolog,
