subfolder,file,path,composite,themes_hit,score_a,score_b,score_c,hits_a,hits_b,hits_c
pdfs_manualy_supplemented,daVeiga_2025_Ethical_Guidelines_Generative_AI_Scholarly_Publishing.pdf,pdfs\pdfs_manualy_supplemented\daVeiga_2025_Ethical_Guidelines_Generative_AI_Scholarly_Publishing.pdf,59,3,11,6,33,human oversight; ai in research; transparency; generative ai; large language model; llm,research integrity; transparency,ai policy; generative ai policy; author guidelines; disclose; cope; committee on publication ethics
G,Writing_etal_2026_Jle_Vol_11_No_4_2025.pdf,pdfs\G\Writing_etal_2026_Jle_Vol_11_No_4_2025.pdf,60,3,12,11,28,human verification; human oversight; transparency; generative ai; chatgpt; scholarly writing,knowledge production; validity; research integrity; transparency,disclosure of ai; cope; committee on publication ethics; icmje; academic integrity; peer review
C,Ganjavi_etal_2024_Publishers_And_Journals_Instructions_To_Authors_On.pdf,pdfs\C\Ganjavi_etal_2024_Publishers_And_Journals_Instructions_To_Authors_On.pdf,35,2,4,0,25,generative ai; large language model; chatgpt; academic writing,,ai guidelines; disclose; cope; committee on publication ethics; wame; equator
C,bmj-2023-077192.full.pdf,pdfs_manualy_supplemented\C\bmj-2023-077192.full.pdf,35,2,4,0,25,generative ai; large language model; chatgpt; academic writing,,ai guidelines; disclose; cope; committee on publication ethics; wame; equator
D,Editors_XXXX_Full_Guide_A_Guide_For_Social_Science.pdf,pdfs\D\Editors_XXXX_Full_Guide_A_Guide_For_Social_Science.pdf,54,3,5,21,19,transparency; preregistr,preregistration; registered report; open science; open data; preprint; transparency,submission guidelines; disclose; peer review; editor; retraction; correction
D,Started_XXXX_Prevalence_Of_Questionable_Research_Practices_Research_Misco.pdf,pdfs\D\Started_XXXX_Prevalence_Of_Questionable_Research_Practices_Research_Misco.pdf,47,2,2,20,19,research practice,open science; questionable research practice; qrp; code sharing; preprint; research integrity,submission guidelines; cope; research misconduct; peer review; editorial board; editor
H,In_XXXX_The_Role_Of_Large_Language_Models_In.pdf,pdfs\H\In_XXXX_The_Role_Of_Large_Language_Models_In.pdf,44,3,8,8,19,reproducib; transparency; large language model; llm; chatgpt,data sharing; transparency; reproducib,cope; research misconduct; plagiarism; peer review; editorial board; editor
B,Started_XXXX_An_Exploratory_Survey_About_Using_Chatgpt_In.pdf,pdfs\B\Started_XXXX_An_Exploratory_Survey_About_Using_Chatgpt_In.pdf,39,3,4,7,19,transparency; llm; chatgpt,code sharing; preprint; transparency,submission guidelines; cope; plagiarism; peer review; editorial board; editor
D,Mendes_2023_Rae_revista_De_Administracao_De_Empresas_Fgv_Eaesp.pdf,pdfs\D\Mendes_2023_Rae_revista_De_Administracao_De_Empresas_Fgv_Eaesp.pdf,65,3,7,33,16,transparency; pre-registr; research practice,pre-registration; pre-register; open science; p-hacking; harking; open data,editorial policy; cope; committee on publication ethics; peer review; editor
D,Started_XXXX_The_Use_And_Acceptability_Of_Preprints_In.pdf,pdfs\D\Started_XXXX_The_Use_And_Acceptability_Of_Preprints_In.pdf,55,3,5,25,16,pre-registr; research practice,pre-registration; open science; open research; open data; data sharing; code sharing,submission guidelines; cope; peer review; editorial board; editor; retraction
